Oddonacci(5): (5, 3, 1) 	 | 	 Time elapsed: 0
Oddonacci(10): (105, 57, 31) 	 | 	 Time elapsed: 0
Oddonacci(15): (2209, 1201, 653) 	 | 	 Time elapsed: 0
Oddonacci(20): (46499, 25281, 13745) 	 | 	 Time elapsed: 0
Oddonacci(25): (978793, 532159, 289329) 	 | 	 Time elapsed: 0
Oddonacci(30): (20603361, 11201821, 6090307) 	 | 	 Time elapsed: 0
Oddonacci(35): (433695873, 235795681, 128199521) 	 | 	 Time elapsed: 0
Oddonacci(40): (9129195487, 4963443281, 2698569577) 	 | 	 Time elapsed: 0
Oddonacci(45): (192167404461, 104479306403, 56804250945) 	 | 	 Time elapsed: 0
Oddonacci(50): (4045078385041, 2199264673425, 1195716038943) 	 | 	 Time elapsed: 0
Oddonacci(55): (85147942685809, 46294000891609, 25169539638325) 	 | 	 Time elapsed: 0
Oddonacci(60): (1792344042191491, 974477762703617, 529812852694713) 	 | 	 Time elapsed: 0
Oddonacci(65): (37728417907092161, 20512526282340991, 11152435162266241) 	 | 	 Time elapsed: 0
Oddonacci(70): (794174268033812681, 431783823692756037, 234756120799924099) 	 | 	 Time elapsed: 0
Oddonacci(75): (-1729563683050201663, 9088947301592921385, 4941560784813367033) 	 | 	 Time elapsed: 0
Oddonacci(80): (1404553489305773151, 6852748946330929953, -6661779405214411663) 	 | 	 Time elapsed: 0
Oddonacci(85): (-8333254287014256043, 5854506408558793507, -5593842087922492479) 	 | 	 Time elapsed: 0
Oddonacci(90): (9144090516051710745, -8687621762017897943, -8510438024516076993) 	 | 	 Time elapsed: 0
Oddonacci(95): (629759302281926593, -3712104984100168799, -6507379270879004835) 	 | 	 Time elapsed: 0
Oddonacci(100): (-4410962496751638461, -7000343724724442751, -3185292211221258079) 	 | 	 Time elapsed: 0
Oddonacci(105): (-9069386318612563879, 6613751698054600031, -8121977436203295023) 	 | 	 Time elapsed: 0
Oddonacci(110): (8675868925471514449, -950871565644872211, 4213243094726057763) 	 | 	 Time elapsed: 0
Oddonacci(115): (2692201956151636545, -1908150831502607535, 3383859046984453457) 	 | 	 Time elapsed: 0
Oddonacci(120): (802491464914663167, 2485200818274072817, -6634670649641921127) 	 | 	 Time elapsed: 0
Oddonacci(125): (-8673096502588025731, -6010037434520605437, -2603772984802971135) 	 | 	 Time elapsed: 0
Oddonacci(130): (5827107603813275521, 3493472377805612417, -2589812062391206657) 	 | 	 Time elapsed: 0
Oddonacci(135): (3818190200148113681, -3948892977166878327, -8284264723531577211) 	 | 	 Time elapsed: 0
Oddonacci(140): (3549029009497430627, 6790402791328320193, 5304296495738216937) 	 | 	 Time elapsed: 0
Oddonacci(145): (-8058813365140325711, -5430914571142954785, 8282429256032013729) 	 | 	 Time elapsed: 0
Oddonacci(150): (4152835205084668921, -527231737583298923, 4930349485492963491) 	 | 	 Time elapsed: 0
Oddonacci(155): (8912778656296945793, 8734365804645639641, 6443600504865154281) 	 | 	 Time elapsed: 0
Oddonacci(160): (-1205067114915311297, -7003905148263337407, 954436754016804193) 	 | 	 Time elapsed: 0
Oddonacci(165): (6205948521869629093, 8699078543208668099, -5476366322708097407) 	 | 	 Time elapsed: 0
Oddonacci(170): (8905421984676984137, -56330673331183847, 3074808924269222623) 	 | 	 Time elapsed: 0
Oddonacci(175): (7547302348075468513, 512229254990469905, 4708825619833727021) 	 | 	 Time elapsed: 0
Oddonacci(180): (7584023152745487459, 952818150967800641, 4250060249521634577) 	 | 	 Time elapsed: 0
Oddonacci(185): (-8750230196687826871, 2018335678273547903, 4801179415509517681) 	 | 	 Time elapsed: 0
Oddonacci(190): (-2602811966237443775, 6956608502283673277, -896810847202076797) 	 | 	 Time elapsed: 0
Oddonacci(195): (-485026113800003839, 1485979787522074433, 8664955947497091137) 	 | 	 Time elapsed: 0
Oddonacci(200): (-3091846479015799649, 3287031571101681041, 1401002728650838601) 	 | 	 Time elapsed: 0
Total Time Elapsed: 18
